  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      310        1.258        5.203            0      502.527      422.144       89.934
      311        1.451        5.228            0      503.319      417.712       89.742
      312        1.643        5.173            0      498.597      431.196       82.916
      313        1.414        5.295            0      506.236      416.618       85.427
      314        1.432        5.372            0      505.036      442.407       90.413
      315        1.677        5.330            0      503.004      400.021       85.858
      316        1.564        5.291            0      498.380      406.976       87.021
      317        1.580        5.430            0      509.219      407.411       84.284
      318        1.668        5.428            0      505.591      415.486       89.543
      319        1.368        5.185            0      500.657      437.208       84.930
      320        1.711        5.214            0      505.735      441.341       89.620
      321        1.584        5.117            0      499.879      432.268       81.642
      322        1.943        5.048            0      498.722      386.606       77.038
      323        1.776        5.078            0      489.607      365.057       91.702
      324        1.620        5.151            0      502.490      458.702       81.729
      325        1.911        5.214            0      510.367      437.036       84.767
      326        1.487        5.285            0      507.017      423.682       90.423
      327        1.806        5.080            0      498.282      404.917       90.348
      328        1.689        5.101            0      497.327      417.978       78.586
      329        1.619        5.187            0      500.580      394.712       81.788
      330        1.597        5.243            0      508.272      433.086       86.871
      331        1.528        5.181            0      502.811      413.204       88.671
      332        1.686        5.098            0      501.716      395.985       81.241
      333        1.879        5.015            0      490.762      414.877       78.960
      334        1.458        5.147            0      501.605      397.051       85.365
      335        1.652        5.245            0      506.660      422.571       82.537
      336        1.296        5.311            0      511.421      404.193       87.218
      337        1.443        5.235            0      503.310      415.936       87.988
      338        1.390        5.258            0      511.819      436.914       86.970
      339        1.735        5.178            0      501.421      429.152       86.657
      340        1.988        5.191            0      503.720      368.938       82.924
      341        1.588        5.335            0      507.215      391.580       85.793
      342        1.903        5.242            0      510.258      389.624       81.043
      343        1.700        5.255            0      505.024      432.580       86.450
      344        1.575        5.200            0      500.007      406.891       85.711
      345        1.881        5.251            0      506.842      400.255       81.708
      346        1.720        5.239            0      501.337      381.377       88.689
      347        1.821        5.252            0      509.259      395.165       85.808
      348        1.851        5.288            0      504.355      399.223       85.208
      349        1.830        5.228            0      506.717      418.391       92.902
      350        1.809        5.213            0      506.107      424.852       78.448
      351        1.586        5.271            0      504.183      422.959       90.629
      352        1.540        5.131            0      500.896      414.402       85.166
      353        1.254        5.092            0      492.739      382.790       87.280
      354        1.858        5.028            0      505.411      431.254       91.574
      355        1.637        5.183            0      503.119      431.120       87.160
      356        1.834        5.206            0      501.885      402.316       87.680
      357        1.390        5.240            0      504.765      407.029       88.621
      358        1.878        5.160            0      499.237      356.825       85.540
      359        1.616        5.180            0      502.411      404.958       80.465
      360        1.780        5.092            0      500.357      392.010       87.630
      361        1.786        5.093            0      501.193      404.397       85.361
      362        1.952        5.083            0      505.035      386.490       83.496
      363        1.783        5.213            0      498.982      387.431       88.415
      364        1.783        5.090            0      503.226      425.777       75.045
      365        1.855        5.059            0      498.985      442.792       79.478
      366        1.938        5.139            0      502.094      390.934       89.643
      367        1.967        5.160            0      501.149      403.019       81.078
      368        1.583        5.387            0      503.498      368.921       85.054
      369        1.606        5.113            0      500.591      444.238       84.792
      370        1.778        5.115            0      503.493      424.872       83.263
      371        1.590        5.296            0      501.526      394.896       89.691
      372        1.709        5.130            0      506.142      456.821       88.843
      373        1.709        5.066            0      495.897      392.165       85.613
      374        1.802        5.141            0      504.178      405.263       81.721
      375        1.823        5.189            0      502.859      397.273       86.544
      376        1.751        5.089            0      496.723      412.302       91.013
      377        1.790        5.183            0      503.334      409.436       90.750
      378        1.672        5.243            0      513.464      426.134       86.811
      379        1.773        5.145            0      502.608      403.033       83.404
      380        1.685        5.161            0      498.780      375.675       91.880
      381        1.649        5.204            0      506.747      383.309       79.851
      382        1.716        5.224            0      503.598      389.571       85.612
      383        1.567        5.331            0      511.419      409.581       87.130
      384        1.725        5.246            0      504.996      380.642       88.409
      385        1.670        5.195            0      502.696      381.275       80.148
      386        1.652        5.181            0      503.573      389.511       86.958
      387        1.764        5.284            0      504.828      397.872       85.819
      388        1.974        5.187            0      509.099      415.737       81.801
      389        2.065        5.232            0      508.119      428.714       89.275
      390        1.666        5.229            0      505.945      421.749       82.341
      391        1.805        5.182            0      504.262      437.470       86.410
      392        1.713        5.240            0      504.935      391.465       77.823
      393        1.944        5.103            0      502.139      423.454       89.703
      394        1.899        5.132            0      502.931      398.902       86.650
      395        1.835        5.072            0      501.176      368.008       84.389
      396        1.785        5.182            0      503.392      373.072       76.672
      397        1.827        5.268            0      509.317      384.751       74.694
      398        1.649        5.230            0      506.735      398.783       80.137
      399        1.564        5.433            0      507.010      418.327       86.696
      400        1.415        5.436            0      510.333      416.267       81.095
      401        1.673        5.311            0      503.811      436.344       82.578
      402        1.757        5.186            0      509.196      403.315       86.098
      403        1.763        5.087            0      501.037      422.977       87.994
      404        1.652        5.185            0      503.085      458.011       84.918
