## Torsion are defined with the following atomIDs:
# dihed1: ai= 2462 aj= 2461 ak= 2460 al= 2458
# dihed2: ai= 2455 aj= 2454 ak= 2453 al= 2451
# dihed3: ai= 2454 aj= 2453 ak= 2451 al= 2450
# dihed4: ai= 2453 aj= 2451 ak= 2450 al= 2449
# dihed5: ai= 2436 aj= 2435 ak= 2434 al= 2431
# dihed6: ai= 2447 aj= 2436 ak= 2437 al= 2439
# dihed7: ai= 2436 aj= 2437 ak= 2439 al= 2440
# dihed8: ai= 2430 aj= 2429 ak= 2428 al= 2427
# dihed9: ai= 2429 aj= 2428 ak= 2427 al= 2423
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
160 -175.901  -99.746   -1.686  143.566 -125.458   15.401   95.647  -58.559  145.584
161  168.483 -112.624  -11.864  123.480  -77.093  -26.703  112.984  -78.752  172.773
162 -168.083 -108.052  -18.120  120.615  -77.709  -26.553   93.077  -31.078  116.528
163  -63.334 -125.939    5.523  115.056 -115.441  -20.006  108.924    5.734  168.610
164  -54.260 -112.757   -6.697  111.242  -88.831  -10.663  104.780    1.087  167.020
165  -60.290 -132.453    9.517   95.290 -122.273    5.613   83.186   22.154  151.353
166  -44.024  -87.470  -37.904  125.560 -102.218    0.661   96.314    2.109  165.996
167  -40.693  -98.207  -26.592  120.773  -96.606   17.789   60.820    0.293  174.989
168  -62.405  -98.303  -15.389  110.618 -115.731   18.890   72.370    4.796  145.699
169  -68.189 -108.108  -17.323  114.826 -101.149   22.099   64.951    4.365  165.869
170   54.924 -107.945    0.642  122.082  -93.059   16.341   74.191  -33.282  129.122
171   61.722  -96.467  -24.157  129.786  -93.569   -0.189   76.497  -71.495   93.730
172   52.674 -102.389  -14.779  120.294  -88.597  -21.699  107.721  -22.633 -166.308
173   64.302  -93.169  -13.727  141.791  -98.321   -4.368  108.692  -50.376  106.584
174  172.464  -83.725  -25.364  118.006  -76.455  -18.782  117.083  -32.000   83.109
175  148.596  -99.338   -5.710  124.458  -98.544   -9.499   92.339  -65.494  107.447
176  176.113 -122.196  -12.110  129.811  -80.763   15.269   61.348  -52.331  160.514
177 -151.310  -94.895  -21.621  125.070  -83.810    3.769   90.481  -45.180  121.315
178  -64.877  -99.505  -25.936  144.322  -70.524    2.719   92.790  -77.477  154.499
179  -49.372 -112.278  -22.772  131.348  -81.230   13.200   87.186  -79.072   95.915
180  -73.007  -97.728  -17.380  127.883  -90.182  -12.363  112.507  -66.463  162.685
181  -76.198  -99.102  -16.874  123.451  -71.754   -7.918   98.093  -72.921  113.505
182  -53.867 -115.312   -6.269  105.087 -109.135   -6.319   75.323  -50.559  109.494
183  -80.211 -108.413  -24.007  124.762  -92.128    1.744   67.862  -43.664  119.285
184  -26.993 -107.488   -6.802  117.570  -91.378   -4.784  110.008   21.950  164.836
185  -80.765 -105.704  -22.360  123.299 -100.660   -0.200   99.193    5.529  158.587
186  -53.588 -103.344  -24.303  125.779  -83.119   -2.530   97.969  -29.268  173.198
187 -159.846 -130.176   -7.281  111.215 -100.607  -23.151  136.290  -39.629  113.568
188 -170.366 -119.617  -17.535  125.365  -77.607   12.844   99.436  -79.463  100.425
189  -56.149 -100.165  -21.802  109.082  -95.765  -16.711  114.900  -41.030   99.209
190  -75.693 -111.588  -15.003  124.094  -90.481   15.827   72.435  -51.926  157.430
191  -48.800  -99.811  -10.001  104.554  -91.111    3.116   73.578  -49.664  102.088
192 -100.510  -90.754  -22.602  122.293 -111.338   -2.045   88.593   -3.461  159.671
193  177.935  -90.808   -6.962  118.036 -109.831   -4.905  108.898  -40.740  137.224
194   71.641 -108.200  -19.805  116.655 -120.012   -6.449   83.934  -38.996   85.536
195  -67.952 -111.531  -10.345  129.718 -106.990    5.953   81.049  -26.446  105.102
196  -60.707 -110.833   -8.901  127.836  -98.135   21.833   68.159  -20.863   99.008
197  -64.444 -117.542  -18.434  127.756  -85.478  -18.682  116.049  -34.118  114.649
198  -46.957 -141.837    0.043  103.520 -100.763   -8.113   83.969  -42.941   90.320
199   50.384  -49.328  -32.086  118.631 -101.660   -2.801   87.726  -43.168   95.981
200   65.302  -64.609  -36.676  129.835 -104.839   13.528   80.018  -34.160   94.973
201   62.424 -124.557   -6.901  115.621 -100.335   -7.120   85.870  -43.263   88.456
202   43.717 -108.360   -3.458  107.572 -105.295   16.034   90.539  -28.404   80.993
203   62.473 -103.894   -8.848  122.791 -100.506   25.918   69.150  -49.007   98.987
204   48.927 -110.952  -10.357  121.072 -108.425  -28.822   99.509  -43.791  102.472
205   41.947 -108.427  -22.756  124.213 -100.102   -7.169   88.715   11.491  157.867
206   37.773  -56.705  -31.694  133.367  -77.075   -6.302   79.908  -57.075   88.593
207  179.657 -122.578  -11.050  116.709 -108.709  -26.532   87.149  -44.698   85.950
208  163.727 -118.132   -1.573  114.309 -116.708  -16.450   96.983    2.234   82.550
209   23.079  -85.674  -12.564  118.110 -107.624   15.446   70.986  -35.959  101.291
210  -78.303 -118.098    2.234  113.771  -71.239   -2.607   76.935  -13.092 -178.533
211  -90.607 -100.739  -27.945  139.677  -80.392   13.278   67.612   -0.921  176.636
212   63.298 -106.276   -3.776  120.078 -127.983   -6.608   87.372  -52.060  141.691
213   42.030  -78.277  -36.142  132.922  -75.908  -12.647   92.021  -70.920  130.128
214 -142.819  -98.397   -7.572  119.252 -105.838  -26.833  110.698  -14.977   79.084
215  -82.014  -83.130  -33.521  145.711  -90.404    9.644   63.539  -25.292  153.894
216   44.824 -119.658  -18.843  129.669  -81.180   -0.346   87.886  -48.704  142.978
217   69.231  -66.406  -39.558  114.724  -76.238  -15.704   74.919  -11.099 -179.847
218  118.654 -114.615  -21.685  130.603  -65.886  -15.628   96.949  -76.615  158.907
