  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      376        3.043        5.185            0      464.441      445.575       52.162
      377        3.058        5.272            0      465.007      500.128       52.698
      378        2.978        5.182            0      460.911      478.717       50.297
      379        3.119        5.232            0      470.278      470.125       56.191
      380        2.968        5.396            0      474.427      445.695       56.698
      381        2.953        5.331            0      472.577      473.207       56.919
      382        3.275        5.127            0      459.840      488.617       53.461
      383        3.053        5.192            0      464.327      472.170       55.975
      384        2.988        5.213            0      474.609      479.989       58.046
      385        3.193        4.960            0      452.229      435.533       55.143
      386        3.383        5.023            0      459.950      493.234       54.923
      387        3.244        5.123            0      463.102      490.046       53.431
      388        3.193        5.120            0      465.567      499.722       51.766
      389        3.059        5.191            0      465.243      467.823       57.507
      390        3.158        5.155            0      460.001      520.701       55.680
      391        3.070        5.141            0      459.082      509.700       52.951
      392        3.244        5.164            0      467.006      517.837       59.858
      393        3.152        5.143            0      460.188      518.730       54.145
      394        3.015        5.192            0      460.531      495.524       57.041
      395        3.142        5.147            0      458.311      529.302       51.694
      396        3.156        5.186            0      463.327      528.787       57.635
      397        3.262        5.143            0      461.111      517.465       55.063
      398        3.330        4.882            0      453.974      495.594       54.131
      399        3.380        4.963            0      464.209      498.598       56.655
      400        3.335        4.824            0      458.355      524.467       53.241
      401        3.400        4.933            0      461.260      513.129       53.060
      402        3.120        5.208            0      478.815      502.981       54.743
      403        3.277        5.022            0      460.193      487.482       53.205
      404        3.288        5.084            0      463.038      536.568       47.896
      405        3.233        5.083            0      469.159      527.392       54.739
      406        2.983        4.958            0      453.737      497.018       59.188
      407        3.018        5.076            0      464.813      501.656       53.525
      408        3.429        5.002            0      464.995      790.831       51.552
      409        3.340        5.024            0      463.390      789.567       55.366
      410        3.270        5.046            0      458.077      779.460       55.815
      411        3.319        5.106            0      477.393      808.445       53.837
      412        3.393        5.031            0      465.539      785.302       55.552
      413        3.341        5.019            0      468.924      795.507       53.691
      414        3.315        5.060            0      469.059      503.371       56.781
      415        3.295        5.046            0      468.668      793.717       54.586
      416        3.433        4.983            0      457.389      774.744       55.588
      417        3.082        5.078            0      469.274      519.700       55.225
      418        3.214        5.029            0      460.991      491.164       56.035
      419        2.989        5.007            0      460.348      478.644       54.477
      420        3.057        4.927            0      458.117      474.936       55.028
      421        3.399        4.965            0      458.559      776.068       55.422
      422        3.194        5.172            0      468.332      463.646       52.164
      423        3.363        5.037            0      467.317      796.431       54.509
      424        3.269        5.048            0      461.593      785.628       58.462
      425        3.326        4.964            0      462.878      783.968       53.521
      426        3.337        4.948            0      462.503      782.871       57.805
      427        3.336        5.066            0      465.749      791.585       55.067
      428        3.485        4.910            0      467.521      463.974       53.774
      429        3.457        4.884            0      459.624      443.565       54.869
      430        3.299        4.786            0      454.174      443.117       59.316
      431        3.204        4.983            0      460.748      459.749       58.492
      432        3.347        4.975            0      458.542      427.723       55.228
      433        3.397        4.971            0      458.077      438.448       52.072
      434        3.281        5.012            0      467.256      448.614       55.405
      435        3.327        5.115            0      460.566      425.575       56.727
      436        3.154        5.158            0      465.712      532.512       48.857
      437        3.392        5.056            0      462.852      507.909       55.899
      438        3.152        5.233            0      471.863      511.732       53.773
      439        3.110        5.027            0      460.402      531.580       53.969
      440        3.293        5.074            0      457.760      516.577       53.697
      441        3.308        5.167            0      470.070      512.117       52.982
      442        3.308        5.082            0      463.536      513.581       52.853
      443        3.167        4.993            0      458.332      503.483       51.378
      444        3.216        4.976            0      462.981      443.184       57.098
      445        2.996        5.003            0      457.999      471.302       57.606
      446        3.472        4.905            0      459.550      481.802       55.698
      447        3.130        5.171            0      477.830      513.785       52.494
      448        3.394        4.895            0      454.342      492.655       53.695
      449        2.961        5.140            0      462.406      469.960       54.179
      450        3.330        5.010            0      462.195      481.465       55.334
      451        3.294        4.992            0      460.562      466.164       50.875
      452        3.361        5.074            0      465.372      495.894       52.571
      453        3.229        5.100            0      468.604      456.288       50.232
      454        3.452        4.926            0      459.831      434.629       56.527
      455        3.311        5.097            0      467.264      461.388       53.189
      456        3.222        4.934            0      459.549      429.318       53.578
      457        3.097        5.040            0      465.943      409.515       54.215
      458        3.431        4.940            0      461.177      431.620       50.287
      459        3.359        4.998            0      467.388      439.740       53.026
      460        3.365        5.010            0      466.458      426.655       55.745
      461        3.222        5.180            0      474.528      479.221       53.482
      462        3.197        5.087            0      454.939      420.396       55.395
      463        3.172        5.073            0      464.938      433.776       57.049
      464        3.392        5.054            0      465.639      464.984       57.525
      465        3.300        5.073            0      465.175      470.008       52.647
      466        3.208        5.074            0      469.561      462.891       52.943
      467        3.137        5.188            0      467.729      472.929       54.056
      468        3.390        4.935            0      466.869      477.855       54.164
      469        3.264        5.155            0      465.924      430.271       52.707
      470        2.779        5.234            0      475.439      409.786       57.747
      471        2.593        5.214            0      475.213      400.965       55.482
      472        3.154        5.198            0      464.606      404.561       58.433
      473        3.086        5.306            0      481.405      432.140       56.144
      474        2.920        5.328            0      477.307      416.434       53.015
      475        3.131        5.285            0      478.498      402.225       57.332
      476        2.490        5.302            0      480.561      373.979       54.797
      477        2.821        5.294            0      477.626      382.115       56.618
      478        2.916        5.253            0      479.545      404.622       48.749
      479        2.749        5.263            0      478.500      399.097       54.703
      480        3.141        5.255            0      478.273      415.302       53.977
      481        3.060        5.339            0      482.607      444.998       53.097
      482        3.158        5.307            0      476.030      454.138       54.632
      483        3.143        5.109            0      471.874      406.555       55.524
      484        3.197        5.208            0      471.675      465.981       53.041
      485        2.929        5.253            0      475.912      416.046       58.011
