## Torsion are defined with the following atomIDs:
# dihed1: ai= 2428 aj= 2429 ak= 2430 al= 2431
# dihed2: ai= 2431 aj= 2432 ak= 2433 al= 2434
# dihed3: ai= 2435 aj= 2438 ak= 2439 al= 2440
# dihed4: ai= 2443 aj= 2444 ak= 2445 al= 2447
# dihed5: ai= 2444 aj= 2445 ak= 2447 al= 2448
# dihed6: ai= 2448 aj= 2447 ak= 2449 al= 2450
# dihed7: ai= 2450 aj= 2449 ak= 2451 al= 2452
# dihed8: ai= 2459 aj= 2460 ak= 2461 al= 2464
# dihed9: ai= 2453 aj= 2454 ak= 2455 al= 2458
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
138  103.228  -26.555 -173.518 -126.183   37.723 -168.195  111.478   35.898  151.008
139  107.740   55.031  170.532 -121.090   46.215 -156.425   61.876  -13.446   33.985
140  106.344   79.117  165.590 -160.299   68.968 -175.699   79.608  -21.144  -20.254
141  101.507   64.583 -177.104 -135.187   61.965 -164.793   62.212   63.770 -110.272
142  118.079   71.032 -167.577 -107.780   25.725 -156.585   95.032   44.374  107.332
143   94.953   56.936  172.402 -113.944   29.634 -166.995  105.817   65.870 -178.936
144  111.371   67.953  178.447 -134.647   47.842 -152.183   81.004  -60.627  147.515
145   90.218   58.556 -172.792 -135.680   61.124 -164.614   82.549  -24.228  -69.065
146  100.300   42.115  159.186 -155.633   63.733 -156.525  123.768  -75.650  -78.762
147  103.757   47.710 -176.355 -153.892   52.988 -163.714   70.321  155.952  158.899
148  125.647   50.557 -176.281 -105.925   14.786 -167.094   91.328  143.077   63.179
149  103.401   57.401  170.936 -141.211   43.602 -161.055   81.835   49.108  -89.124
150   86.476   53.376  174.972 -164.706   71.932 -173.281   65.821 -129.358   61.177
151   85.785   68.380  168.691 -149.224   48.224 -154.832   62.147  130.208  -71.977
152   93.817   47.454 -174.607 -141.767   59.161 -155.809   72.515   32.420  177.037
153  100.943   67.920 -154.202 -155.799   57.713 -169.836   79.146 -108.157   40.969
154  108.777   52.715 -162.618 -148.730   51.317 -157.370   64.935  -98.004 -161.592
155  103.944   60.802  177.870 -141.136   50.446 -158.506   68.882   72.246  -29.068
156  105.548   68.130 -178.093 -129.820   33.007 -153.121   70.354   36.426  102.396
157  112.045   57.740 -168.185 -164.795   51.233 -145.233   58.928   40.985   86.451
158  102.658   55.240  173.136 -151.540   46.626 -154.255   75.187   20.959  -60.811
159  108.876   24.460 -175.951 -142.995   43.043 -160.327   72.685  159.483  123.009
160  106.137   58.220  178.374 -169.248   74.186 -163.609   67.714  166.799  -53.268
161  106.856   60.991  176.308 -147.937   50.692  178.122   84.492   53.844 -154.408
162  107.641   51.224  176.550 -153.008   45.204 -152.071   77.086  -25.434 -136.687
163   94.387   41.738 -176.550 -156.426   40.852 -149.619   82.546  147.712  -60.677
164   90.998   65.205 -179.639 -155.337   48.713 -147.221   57.338   44.404   24.105
165   99.126   51.402  172.905 -139.628   63.588 -163.509   62.230   27.354  -62.691
166  106.794   88.172 -175.284 -136.692   37.625 -153.217   91.775 -142.558  177.771
167   94.292   43.319  178.117 -155.133   73.702 -172.540   80.398  -15.532  155.479
168   90.630   60.677  177.920 -146.531   48.631 -177.168   72.609  154.099  -50.928
169  107.669  -55.163  168.765 -133.034   39.378 -139.401   53.127  -30.703 -141.685
170   98.369  -42.788 -171.617 -162.623   54.549 -142.698   51.844  -41.276 -151.071
171  104.930  -33.137 -169.698 -128.189   38.106 -143.633   63.172  108.965   49.768
172   88.453  -48.079 -166.478 -149.786   52.205 -163.441   88.137  175.595  -69.891
173  109.947  -36.962 -175.510 -133.882   58.625 -174.899   93.157   62.648 -175.643
174  130.384  -52.613  159.745 -142.546   44.234 -172.431   99.329   52.557   71.141
175   98.620  -41.486  177.819 -138.850   51.288 -168.671   77.577   13.563  -64.120
176  104.072   57.679  161.080 -122.436   20.642 -149.177   82.466 -118.041   -9.087
177  114.895   58.864  158.164 -141.681   31.280 -159.684   91.942  -83.900 -118.565
178  109.614   41.442  173.761 -128.550   48.624 -174.303   77.681  150.235  -26.705
179  101.960   53.042  172.706 -129.820   41.326 -161.954   76.106 -103.406  116.443
180  119.524   68.709  174.331 -167.161   63.661 -175.896  118.939  -57.774  -20.275
181   76.116   54.520  170.906 -143.668   49.662 -161.718   90.235  -97.790  -17.973
182  112.788   48.515 -177.726 -167.335   54.161 -169.906  103.146 -116.398  -38.640
183   93.276   47.792  179.515 -146.822   74.845 -178.794   74.124  -84.299   20.420
184   95.004   55.354  159.487 -165.823   61.769 -161.285   80.099   74.434  155.767
185   99.076   67.352  178.251 -145.694   51.537 -165.386   96.685 -142.024  155.779
186  112.398   69.794 -166.923 -136.645   48.319 -171.985  107.969   59.717  -28.771
187  106.654   56.109 -161.876 -126.751   48.672 -167.440  120.972  174.555   82.098
188   99.008   48.695  173.044 -171.725  101.802 -177.737  134.592  161.970 -118.900
189   99.667   42.656 -161.509 -150.656   35.639 -172.161  116.885   33.916 -177.124
190   96.984   66.799 -175.175 -158.965   37.710 -166.696   88.976  138.929  -24.297
191   93.575   51.067  175.124 -147.280   49.624 -141.465   46.454   26.165 -122.939
192   95.021   59.124 -179.029 -127.811   44.749 -136.901   59.249  -73.376  -71.044
193  103.497   77.869 -165.613 -153.054   48.439 -153.014   78.338   47.519  -94.002
194   86.418   65.651 -172.639 -166.195   68.740 -166.865   85.015   59.139 -127.258
195   87.681   45.384  177.102 -144.638   47.446 -152.737   50.164 -116.830 -169.756
196  117.021   66.080 -176.458  141.686  129.334 -174.734   99.400   53.147  174.543
197   95.963   44.611  171.819 -152.866   55.488 -174.976   75.382  163.322   82.667
198   91.324   59.469  169.896 -157.878   63.190 -175.519   72.987   61.140  158.652
199   87.632   40.461  176.223 -167.368   65.324 -169.922  105.655  107.167  -89.360
200   89.364   76.658  169.415 -131.475   32.600 -162.131   90.965 -176.966 -173.092
201  110.810   77.309 -161.935 -141.462   38.005 -165.304  107.219   21.416   -3.115
202  101.068   53.026 -148.595 -116.134   40.188 -151.824   82.503   77.228   59.985
203   93.983   65.398  178.620 -139.982   43.546 -160.568   63.548 -172.346   85.629
