## Torsion are defined with the following atomIDs:
# dihed1: ai= 2464 aj= 2463 ak= 2462 al= 2461
# dihed2: ai= 2463 aj= 2462 ak= 2461 al= 2460
# dihed3: ai= 2462 aj= 2461 ak= 2460 al= 2451
# dihed4: ai= 2452 aj= 2451 ak= 2450 al= 2448
# dihed5: ai= 2451 aj= 2450 ak= 2448 al= 2440
# dihed6: ai= 2450 aj= 2448 ak= 2440 al= 2441
# dihed7: ai= 2441 aj= 2440 ak= 2439 al= 2438
# dihed8: ai= 2439 aj= 2440 ak= 2441 al= 2442
# dihed9: ai= 2440 aj= 2441 ak= 2442 al= 2443
# dihed10: ai= 2441 aj= 2442 ak= 2443 al= 2444
# dihed11: ai= 2446 aj= 2443 ak= 2444 al= 2445
# dihed12: ai= 2444 aj= 2443 ak= 2446 al= 2447
# dihed13: ai= 2440 aj= 2439 ak= 2438 al= 2435
# dihed14: ai= 2434 aj= 2433 ak= 2432 al= 2431
# dihed15: ai= 2430 aj= 2425 ak= 2426 al= 2427
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15
48 -127.925  166.872 -163.063   59.891   76.563   -0.622 -113.618  112.522 -173.493   71.560   69.022 -159.009   12.422  120.567 -164.030
49  -61.688 -156.366 -179.728   58.501   85.338  -16.571 -113.498   82.574 -166.479   91.971  163.912 -170.530   33.120   43.973 -176.253
50  -91.302  161.578 -168.713   50.577   80.422  -14.856  -95.462   57.874  177.438  161.325   66.028 -135.360  -16.261  141.541 -160.814
51  -72.714  124.705 -159.745   63.915   88.389   -0.567 -139.540   97.286 -174.768   94.297   70.765  -87.372   47.899 -114.720 -162.257
52  -89.429  177.105 -164.413   69.281   72.747   -7.380 -125.964   97.985 -171.489   94.240   60.708  -93.150   27.227  -62.933   15.510
53  -21.443  166.511 -170.083   67.324   79.649    5.477 -134.081   91.260 -160.975   73.981   47.736 -157.436   65.864 -155.864   19.884
54  -37.081  176.723  178.030   75.007  121.229   -9.169 -118.779  104.313 -176.581   73.244  101.396  -64.693   11.425  -69.259 -134.599
55  -52.268  116.220 -123.343   81.383  146.752    4.424 -115.633   73.144 -178.480   51.882   57.015 -159.033   39.093  -44.742  -30.268
56  -51.896  165.195 -164.399   58.682  167.446    8.037 -139.207   86.035 -179.091   85.131   63.968 -150.636   77.756 -137.338   18.287
57  -92.929  174.301 -154.980   65.896  147.836   16.121 -131.104   90.534  175.842   75.547   85.706 -158.934   72.288 -134.462  -89.263
58  -90.698 -174.911 -169.841   89.506  137.939    3.515 -132.999  100.256 -174.657   93.587   58.921 -136.856   53.468  -94.983   76.517
59  -81.573  126.101 -158.247   92.896  146.887    0.953 -132.724   88.743  165.620   58.932   66.704 -125.149   39.828  -39.713   51.884
60  -66.819  148.105 -161.810  105.182  165.876   -1.652 -132.831   92.105  164.273   69.054   62.412 -118.635   43.090  -38.299  -39.839
61  -73.064  143.511 -152.648   84.871  148.201   15.330 -138.462   80.166 -177.010  115.762  169.854 -162.816   44.263  -64.705    0.693
62  -67.155 -179.506 -170.017   82.575  140.058   17.696 -134.723  100.833  170.883  115.542  161.941 -156.251   35.655  -48.433   12.024
