## Torsion are defined with the following atomIDs:
# dihed1: ai= 2452 aj= 2449 ak= 2448 al= 2447
# dihed2: ai= 2449 aj= 2448 ak= 2447 al= 2445
# dihed3: ai= 2447 aj= 2448 ak= 2453 al= 2455
# dihed4: ai= 2448 aj= 2447 ak= 2445 al= 2444
# dihed5: ai= 2447 aj= 2445 ak= 2444 al= 2443
# dihed6: ai= 2442 aj= 2439 ak= 2438 al= 2437
# dihed7: ai= 2439 aj= 2438 ak= 2437 al= 2436
# dihed8: ai= 2429 aj= 2428 ak= 2427 al= 2423
# dihed9: ai= 2435 aj= 2430 ak= 2431 al= 2433
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
201   45.021   93.196 -144.633  170.996 -172.138  177.043   67.987  -40.729  113.955
202   55.498   63.757 -159.834  179.263 -172.867 -154.017   83.153  -49.202   36.736
203   29.420   55.528 -170.867 -171.522  177.533 -151.316   73.185  -67.629  -73.248
204   22.986   61.118 -165.220  179.911  175.490 -173.223   81.890  -46.135  -72.633
205   59.387   72.395 -131.521 -176.317 -168.559 -162.727   80.154  -35.804 -101.437
206   27.440   82.877 -153.741  166.672  170.783 -172.583   88.771  -53.178  160.073
207   36.320   64.230 -169.189  173.396  177.652 -161.118   95.164  -47.481 -167.716
208   49.336   41.078  170.214 -172.526  179.279 -158.404   77.037  -37.030   33.747
209   31.031   58.030 -139.547 -161.411  167.140 -171.320   82.229  -43.265  -87.450
210   59.145   70.597 -136.368 -163.695  162.898 -150.799   79.233  -41.473  -31.463
211   34.784   61.870 -174.640 -157.578  179.712 -164.251   90.421  -52.098 -165.281
212   51.898   71.411 -148.932 -165.507 -169.520 -170.642   78.138  -56.873   34.985
213   24.993   83.453  -31.096  164.542  172.722 -163.135   87.330  -53.146   -2.101
214   41.157   74.844  -45.870 -170.389  160.902  179.662   88.072  -40.029  117.640
215   47.353   69.405  -37.631 -169.331  163.341  -61.047  121.207  -39.813 -136.986
216   41.591   75.855  -33.991 -178.220 -172.088  -47.368  111.519  -37.183  145.727
217   51.621   60.511  -36.989 -157.623  160.687  -73.774  156.947  -55.177   -9.205
218   36.183   87.129  -34.856  174.728  175.562  -77.845  133.110  -56.136  -21.223
219   44.903   61.856  -46.409  163.180  164.382  -70.264  128.559  -34.217  157.736
220   35.545   68.797  -36.246 -168.434  178.208 -100.258  106.218  -53.970 -148.409
221   19.160   82.257  -49.191  164.346 -177.555  -94.036   79.630  -82.818   44.666
222   57.957   70.258  -36.981 -177.089 -171.172  -63.416   86.441  -42.101   32.909
223   46.860   76.057  -43.371 -170.088  174.739  -25.282  104.471  -44.914   20.678
224   29.637   63.585  -42.972 -178.686 -178.570  -62.142  132.542  -32.825   -4.113
225   43.776   65.925  -28.814 -173.220  173.001  -15.095  104.673  -55.465  -78.855
226   45.056   73.222  -13.382  179.210 -179.769  -81.694   86.383  -53.696   84.714
227   50.101   65.667  -34.889 -179.744 -177.762  -57.505   90.359  -51.706  115.898
228   51.904   54.355  -48.329 -159.179 -177.264  -68.238   85.915  -73.104   98.228
229   21.617   65.843  -39.985 -171.837  171.717  -52.724   94.737  -59.906 -165.429
230   32.650   58.642  -70.246 -179.181 -155.190 -107.089   77.019  -56.882  139.485
231   34.760   52.596  -45.944  161.319  165.467  -76.255  116.413  -67.786  -15.158
232   46.875   70.899  -37.393 -172.458  165.071  -98.813  118.912  -34.648 -115.294
233   45.744   49.692  -49.151  171.381  158.389 -108.082   95.532  -45.057  127.583
234   37.397   68.544  -39.298  159.066 -168.885  -97.134   98.499  -43.304  123.811
235   41.221   86.517  -31.090 -162.749 -168.178  -97.856   82.887  -19.705  -27.056
236   63.152   65.592  -33.804 -164.313 -166.351 -111.579  100.395  -74.276  104.096
237   24.422   66.822  -32.246 -169.931  171.844 -102.117   95.117  -50.374  152.515
238   34.137   59.964  -37.179 -179.280  174.207  -95.136   80.594  -65.909   51.936
239   55.689   60.314  -44.201 -166.360 -170.855  -83.108   90.004  -54.090  120.664
240   32.793   62.422  -39.706 -174.241  172.359  -90.514   83.433  -63.501  -15.744
241   32.119   53.422  -51.461 -164.966 -167.181  -75.121   79.509  -25.057 -121.531
242   35.907   74.454  -38.791 -179.898  170.029  -47.642  107.957  -56.610    1.136
243   44.958   65.887  -60.229  155.971  173.788  -28.035  111.087  -55.805  -54.299
244   26.711   60.525  -43.757 -177.879 -168.785  -31.313  100.324  -46.630 -143.558
245   36.333   65.609  -47.516  174.689  169.500  -44.148  103.865  -16.772 -142.742
246   35.012   68.365  -53.414  155.891 -168.610  -90.125   94.895  -62.195 -117.524
247   47.955   76.532  -40.153  162.291 -170.547  -83.069   92.523  -72.886 -144.070
248   31.770   67.787  -39.167 -163.857  174.972  -62.782  101.928  -26.005   24.914
249   31.842   54.566  -38.821 -177.882 -165.920  -38.339   94.872  -18.152  104.204
250   50.649   87.248  -36.403 -153.776 -177.871  -37.791   93.630  -17.859  104.845
251   60.798   88.036  -14.399  165.400 -179.284  -66.593   86.251  -45.616   79.648
252   55.640   70.534  -31.945 -165.291 -174.714  -32.577  100.961  -71.958   79.253
253   24.909   64.247  -49.400 -154.594 -178.402   -0.714   87.395  -50.817   68.047
254   59.059   76.007  -32.035  179.887  166.635   71.169   90.459  -55.242  104.218
255   32.719   73.332  -25.534 -179.556  173.301   75.463   91.428  -54.316   99.637
256   54.809   74.097  -34.301 -176.199  175.794   65.832   81.489  -43.856  -13.509
257   40.663   77.987  -37.641  161.897  170.952   60.658  102.501  -31.108  -36.700
258   22.633   55.243  -48.521  172.815  176.869   69.978   79.276  -26.992   33.101
259   59.216   67.519  -47.868 -163.508  172.205   81.291   94.355  -47.850 -141.041
260   36.787   71.759  -30.908  176.937 -175.879   65.855   93.348  -47.161   47.524
261   36.133   60.437  -39.721 -174.328  171.701   78.191   89.191  -47.053  125.724
262   57.191   65.145  -38.825  178.017  173.628   69.645   98.092  -54.924 -153.923
263   41.383   44.693  -49.463 -178.952  163.267   70.413   81.188  -41.822  153.105
264   40.292   67.830  -48.194 -173.806  167.190   70.033   85.882  -35.579  -52.154
265   40.613   54.016  -41.491 -173.487  178.932   72.878   87.572  -60.282 -146.817
266   42.778   55.598  -46.217 -166.076  166.265   92.032   75.341  -51.656   46.096
267   34.445   74.766  -46.343 -177.041 -162.573   82.124   86.877  -43.919 -136.517
268   44.870   60.297  -47.949 -175.380 -169.633   69.903   88.337  -59.718 -160.311
269   61.826   64.896  -14.843 -176.155  177.348   54.382   94.494  -54.497  -15.689
270   46.107   83.553  -45.954  169.977 -172.266   72.253   92.241  -45.595  -50.006
271   43.752   49.818  -50.303 -173.362 -165.016   94.201   95.015  -46.660 -155.224
272   31.509   66.900  -47.128 -169.980 -169.796   77.749  104.413  -58.390  -28.912
273   28.760   65.086  -31.172  153.757 -177.065   54.907   85.945  -50.922  126.683
274   27.556   53.904  -57.172  172.689 -172.297   54.821   91.239  -42.748  115.350
275   41.119   63.221  -37.560 -168.969  167.443   56.028   93.592  -31.239   59.142
