  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      334        1.121        5.185            0      389.602      407.463       23.296
      335        0.908        4.484            0      384.424      448.084       22.006
      336        0.649        4.854            0      386.888      485.046       24.736
      337        1.187        4.616            0      388.665      447.452       24.342
      338        0.795        4.915            0      392.552      449.631       22.787
      339        0.758        4.652            0      386.720      459.336       23.735
      340        0.947        4.881            0      391.230      460.134       26.373
      341        0.784        4.731            0      389.273      453.417       24.520
      342        0.804        4.931            0      391.119      456.119       22.958
      343        0.676        5.006            0      390.761      452.537       24.094
      344        0.988        4.724            0      388.823      505.310       25.891
      345        0.897        4.798            0      387.083      461.173       24.573
      346        1.189        4.684            0      389.269      461.425       23.630
      347        1.141        4.622            0      386.966      462.386       27.274
      348        0.805        4.716            0      392.420      443.245       26.105
      349        0.626        4.833            0      391.899      439.587       25.638
      350        1.964        3.861            0      352.468      372.403       26.178
      351        0.566        4.924            0      389.818      472.277       27.190
      352        1.216        5.297            0      392.199      432.857       22.505
      353        1.261        5.260            0      390.604      421.085       23.974
      354        0.738        4.813            0      388.688      439.504       21.637
      355        0.867        4.963            0      392.194      441.832       25.043
      356        0.668        4.969            0      390.426      430.792       20.679
      357        0.628        4.685            0      393.423      451.569       23.869
      358        0.725        4.692            0      386.469      448.279       22.781
      359        0.893        4.716            0      388.101      454.357       24.180
      360        0.788        4.941            0      389.985      421.987       24.805
      361        1.201        4.484            0      381.803      418.651       29.790
      362        0.960        4.480            0      391.713      434.341       22.066
      363        0.506        4.843            0      387.980      424.526       22.476
      364        0.933        4.723            0      393.086      423.132       22.508
      365        0.786        4.702            0      388.808      432.049       23.629
      366        0.822        5.188            0      393.549      466.261       26.094
      367        0.741        4.911            0      389.765      466.043       23.847
      368        0.942        4.713            0      392.028      471.078       27.925
      369        0.941        5.132            0      396.635      456.537       26.186
      370        1.076        4.564            0      389.822      421.646       24.841
      371        0.881        4.823            0      392.367      413.058       24.609
      372        0.636        4.936            0      397.074      406.011       25.643
      373        0.680        4.805            0      391.141      420.496       22.574
      374        0.788        4.773            0      388.482      410.377       21.927
      375        1.232        4.546            0      388.167      428.669       25.964
      376        0.766        5.079            0      391.707      425.199       23.960
      377        0.869        4.888            0      394.840      417.770       23.094
      378        0.774        5.178            0      391.581      428.590       24.894
      379        1.682        5.384            0      389.190      392.547       22.887
      380        1.031        5.276            0      392.054      437.546       23.862
      381        1.026        5.082            0      389.481      423.032       24.756
      382        0.685        4.796            0      387.554      431.406       21.973
      383        0.573        4.696            0      388.937      405.136       22.530
      384        0.795        4.640            0      384.351      402.615       24.234
      385        0.980        4.705            0      390.495      411.967       24.242
      386        0.996        4.587            0      388.718      390.660       24.255
      387        0.666        4.805            0      389.752      412.916       22.837
      388        0.774        4.677            0      386.118      392.852       21.642
      389        1.150        4.976            0      395.494      417.065       26.270
      390        0.888        4.917            0      386.704      430.022       22.609
      391        0.670        4.833            0      389.735      421.088       24.792
      392        0.703        4.779            0      389.797      410.708       22.998
      393        0.723        4.836            0      392.083      407.620       22.650
      394        0.960        4.676            0      388.402      417.009       25.430
      395        1.057        4.635            0      391.289      427.468       21.433
      396        0.699        5.111            0      391.003      423.944       23.007
      397        0.973        4.765            0      389.607      408.695       24.759
      398        0.560        4.935            0      391.725      448.669       23.936
      399        0.567        4.962            0      391.493      425.072       23.480
      400        0.944        4.967            0      393.155      466.536       22.332
      401        0.813        4.634            0      388.045      443.674       23.144
      402        1.165        5.378            0      392.389      450.771       21.094
      403        0.487        4.837            0      388.341      425.006       24.861
      404        1.029        5.183            0      392.424      446.101       22.985
      405        0.777        4.735            0      390.114      434.201       23.213
      406        0.803        4.602            0      385.254      423.188       23.175
      407        0.943        4.694            0      390.816      395.527       26.983
      408        0.916        5.230            0      393.726      427.421       24.450
      409        1.182        4.750            0      393.331      444.299       23.409
      410        0.898        4.966            0      393.110      415.513       20.875
      411        1.305        4.543            0      386.368      383.740       25.213
      412        0.919        4.757            0      390.872      426.876       27.053
      413        1.096        4.581            0      387.038      405.299       23.865
      414        0.960        4.826            0      388.916      425.366       23.446
      415        1.026        5.062            0      392.857      406.640       24.358
      416        0.524        4.707            0      389.551      406.107       23.621
