## Torsion are defined with the following atomIDs:
# dihed1: ai= 2447 aj= 2446 ak= 2444 al= 2443
# dihed2: ai= 2446 aj= 2444 ak= 2443 al= 2442
# dihed3: ai= 2444 aj= 2443 ak= 2442 al= 2448
# dihed4: ai= 2442 aj= 2448 ak= 2449 al= 2450
# dihed5: ai= 2450 aj= 2449 ak= 2451 al= 2452
# dihed6: ai= 2449 aj= 2451 ak= 2452 al= 2453
# dihed7: ai= 2451 aj= 2452 ak= 2453 al= 2455
# dihed8: ai= 2456 aj= 2457 ak= 2458 al= 2459
# dihed9: ai= 2457 aj= 2458 ak= 2459 al= 2460
# dihed10: ai= 2458 aj= 2459 ak= 2460 al= 2462
# dihed11: ai= 2441 aj= 2440 ak= 2439 al= 2438
# dihed12: ai= 2440 aj= 2439 ak= 2438 al= 2437
# dihed13: ai= 2434 aj= 2433 ak= 2432 al= 2431
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13
123  160.061 -166.257 -163.341   81.529 -163.161 -167.825  168.495  -21.212   88.836 -107.860  122.389 -172.197  111.317
124  173.141 -173.457 -151.393   75.995 -162.251 -172.834   52.988   14.136   74.014  127.063  128.292  167.948  125.764
125  148.251  167.563 -130.511   81.826 -163.998 -178.517   62.271   -1.011   77.908  150.556  114.406 -172.972  123.701
126 -126.877 -174.088 -144.804   84.012 -164.650  164.716   73.709    8.662   71.088  -86.865  134.430  174.195  116.627
127 -166.080  172.783 -129.164   64.985 -155.024  175.245  161.963   -5.082   84.456   -0.674  120.498 -154.882   75.017
128 -139.276 -176.365 -159.829   75.796 -142.200  152.829  151.831   15.642   76.291  127.548  122.555 -174.990   24.786
129 -108.929  169.354 -112.713   81.637  -78.588 -170.924  153.854   23.468   78.412   -0.557  121.183  162.723   29.386
130  -88.740  164.493 -132.707   76.530  -41.275 -172.793  175.507   14.141   61.271 -105.645  127.120  164.927   22.302
131 -156.128  173.759 -147.050   48.947  -76.672 -173.421  171.441    1.646   85.183 -140.557  129.765  171.449   19.202
132 -137.812  171.343 -148.217   84.653  -71.503  177.411 -172.028   10.420   96.538   70.367  111.634 -171.929   12.646
133  169.318 -176.172  166.264   99.012 -111.567 -171.818  164.747   -3.741   87.075  -98.392  130.086 -168.668   -6.262
134 -104.156  163.567  165.293  148.950  -91.883  179.874  153.965   -6.089   76.445  120.052   98.570 -149.576  -26.019
135 -171.352 -174.457 -161.764  106.866   86.266 -177.699   88.728    5.371   87.934  -93.833  103.143 -151.815    0.274
136  -96.566  171.767 -152.455   96.429   79.294  177.478  158.340    6.376   75.751   31.257  116.788 -147.116   -6.167
137 -156.318  175.956  149.625  131.248   69.022 -170.140   78.254   18.394   55.731   19.282  106.884 -144.808  -11.278
138 -166.300  179.525  161.874  135.501   65.435  179.323   85.023   15.804   78.433  146.243  111.204 -157.862   11.816
139  113.005  165.707  149.031  124.620   88.914 -176.741   70.918  -11.418   67.290 -115.400  107.067 -171.042   -0.138
140 -147.489  164.065  126.530  120.247   88.630  174.123   72.411    8.918   75.941  -57.286  136.804  167.058   18.227
141 -140.716  170.694  138.286   99.280   80.887 -169.366  159.998   11.112   88.584  -71.676  124.268 -163.617  -13.865
142 -170.250  175.980  155.099  127.518   77.375 -174.202   48.547    7.699   88.355   63.667  130.769 -165.028   -6.241
143  155.563 -152.630  129.192  141.347   80.682  173.201   65.663  -24.163   82.215   42.588  129.434 -155.834  -24.439
144  161.533 -168.399  110.543  143.718   65.562 -178.588   97.608   17.677   74.151  -82.582  134.235 -160.884   -9.737
145 -170.847 -165.455  163.902  131.381   93.038 -175.960   83.679    3.593   87.867  164.005  122.091 -162.036    3.554
146  162.695  172.265  147.239  144.381   87.273 -168.843   84.029   -1.598   84.368    5.839  116.420 -151.145  -25.603
147  156.164  172.566  147.030  133.064   70.209  166.191   75.570   24.177   60.774  126.726  114.641 -154.228    3.999
148  136.486  168.597 -136.593  132.508   77.385 -179.689   94.055    3.640   68.402 -109.731  107.737 -150.769  -17.803
149  144.597  173.989  150.095  139.964   72.012 -158.262   93.240    4.798   69.999 -106.073  136.134  173.640   45.702
150  113.901 -174.490  125.550  124.518 -163.188  177.390   49.973   14.573   80.964  -67.754  142.744  171.781    1.730
151  152.362  175.274 -165.472   93.591 -165.783  166.157  164.846   13.220   67.631   12.098  134.928  164.621   31.021
152  136.598 -174.006 -150.990   96.026  173.508 -173.497  170.742   36.199   66.364  -71.532  127.341  179.193   40.453
153 -168.673  171.459 -144.867   88.981 -161.879  169.335  156.922  -11.912   83.843   13.122  117.786 -159.790  -11.951
154  171.576 -166.458  142.546  109.455 -163.141 -170.427  138.186   12.206   71.377 -104.141  136.787 -172.860  -27.475
155 -174.394 -171.984 -143.913  119.645 -179.879  174.744  174.435   30.414   67.022   55.416  120.223 -174.465  -21.150
156  109.887 -178.636 -151.085   89.862 -163.289  177.215  161.599   16.528   67.753   42.585  108.033 -141.274   -2.831
157 -147.325  174.470 -152.126   76.074 -152.251  177.765  164.642   14.665   60.275   20.379  120.239 -164.957  -12.610
158 -179.241  159.974 -139.344   67.763   83.249 -172.128  168.245    5.968   77.505   38.790  139.660 -167.754  -20.409
159 -128.198  172.942 -146.270   78.505   58.954 -174.312   63.754   -5.243   92.509 -110.210  120.250 -153.415  -14.495
160  -85.086  173.357 -130.479   85.312   57.137  172.501   40.584    2.409   61.665 -107.614  120.487 -135.819  -35.121
161 -167.430  169.391 -124.462   61.556   63.696 -178.649   66.090   10.157   80.316  -91.539  131.632 -169.139  -21.992
162  110.867 -174.505 -149.425   64.860   61.330 -169.864   93.430    7.528   74.410   25.797  107.143 -149.589  -22.301
163 -177.067 -178.124 -157.084   73.477   60.686 -172.309   81.756    4.234   78.645  138.449  110.786 -154.348  -21.728
164 -143.232 -171.402 -155.096   58.753  102.449  179.167   70.874   20.880   79.681  169.887  118.410 -150.041   -6.731
165 -100.610  176.021 -102.914  129.092   67.063  179.271  160.952   19.553   63.406   -4.294  122.209 -161.970  -12.159
166   72.921  179.275  -80.723  115.838  -59.327 -165.855  160.775   10.734   70.657  140.142  109.010 -139.940  -49.483
167 -109.090  173.953  -84.450  147.507  -70.861  176.441 -178.399   19.755   78.289  125.968  117.499 -166.802   -2.434
168  174.501 -165.995  -56.955  135.470  -60.201  175.378  145.405   -9.461   81.277 -105.770  122.875  172.307    9.259
169 -152.473  174.500  159.362  125.846  -57.650  170.396   89.245  -12.950  103.258  106.929  125.986 -175.792   -1.455
170 -144.763 -177.652  177.113  101.493 -163.114  171.753  160.470   -1.998   81.162  127.841  129.348  170.062   22.916
171  134.110 -173.500 -117.079   89.307  179.125  163.217   48.084   33.903   48.895  -96.283  100.858 -171.936   42.044
172  148.680  173.902 -150.361   76.174 -168.566  170.989   74.909   12.271   67.548 -124.825  121.244 -164.281   18.558
173 -175.175  165.407 -152.164   90.090 -171.312 -179.040   81.001    9.701   75.455  -88.075  130.101  178.454   50.821
174 -176.812  170.074 -139.690   90.747 -165.514 -165.701   75.772   11.147   86.421  -10.833  123.525 -170.851   40.200
175 -159.312  173.613 -175.645  122.987 -170.929 -172.473   54.156   10.391   73.081   78.733  128.682  169.524   26.066
176  150.282 -176.833 -160.202  108.779 -163.336  163.801  103.578    1.768   78.741  118.774  141.405  156.479   35.994
177 -176.853  167.967 -141.154   95.801  174.247  161.197   60.381   14.430   68.782  -86.099  120.203  179.725   43.938
178 -147.415  167.527 -131.076   77.779 -150.471 -175.641   69.660   -2.996   74.754 -111.549  113.835 -178.948   38.335
179   94.867  150.240 -133.969   93.597  174.298 -154.721  144.616   14.281   76.082   71.144  121.611  179.772   41.010
180 -115.609  178.363 -120.923   90.503 -179.981  168.701  161.408    8.390   62.285  115.020  125.257 -178.586   35.785
181 -171.905  163.900 -164.635   99.351 -159.347 -178.101   67.574   -3.405   77.095 -105.819  124.178  172.489   24.863
182  175.588 -175.809 -132.654   89.692  175.237  165.990   88.767   12.594   60.102 -106.433  127.518  157.118   24.845
183 -171.317  170.260 -124.204   80.088 -164.661  158.381   58.938   20.743   62.115  130.746  127.508  172.879   54.244
184 -104.701  175.257  140.928  122.567 -167.082 -170.502   75.179    7.451   75.675   28.447  143.146  143.580   48.377
185 -146.697  176.737  159.089   82.820 -168.730 -161.440   81.202    2.325   69.785 -112.975  113.569 -171.707   39.969
186 -161.286 -175.900 -119.242   77.382 -163.322 -172.301  145.712   16.084   66.934  161.348  113.776 -171.774   56.619
187 -156.222  171.390 -144.015   84.175 -177.928  168.548   62.841   -1.915   81.293 -131.223  125.172 -173.747   33.933
188  176.984  167.086  171.597  128.397  170.460 -174.757   98.905   -0.567   71.411  126.003  145.783  163.687   38.542
189 -178.136  175.080  177.627   89.775 -172.045 -176.568  166.645   24.457   56.313  123.474  112.014 -175.491   44.043
190 -120.706  177.369  171.405  122.577 -175.003  160.339  163.869    2.926   83.518  159.571  120.907  170.523   39.016
191 -175.475  171.169  169.385  106.147 -155.199 -179.915   76.028   20.348   91.681  -87.501  123.531  161.954   44.910
192 -115.854 -148.766  155.201  122.640 -158.858  170.818   73.032    6.882   77.139  -92.210  129.794  161.606   27.221
193  178.959  173.965  157.125  132.675  176.650  167.328   70.918   17.296   68.992   22.749  122.946  161.954   45.140
194  121.797  162.936 -152.726  107.515 -172.730  179.482   83.512   10.032   64.977    0.581  145.758  175.605   20.828
195 -109.694  163.194  153.711   88.062 -166.626  160.468   78.396   41.175   73.908  -91.639  127.393  179.904   57.390
196  -95.602  174.922  163.494  113.455 -165.637 -167.028   78.042   19.933  162.562  151.133  112.502 -176.531   51.343
197 -134.058  159.189 -178.241  115.785 -171.304 -167.772  143.166  -13.470  177.340   51.806  128.834  161.599  130.958
198 -108.082  173.645  145.698  134.526 -156.148  177.902  158.454   11.768  -89.862  110.805  117.173  158.476  130.189
199  168.693  159.764  157.795  109.165 -167.887  173.633  157.107   -3.840  -73.363   99.874  159.320  147.949  121.409
200 -148.923 -173.206  146.199   96.077 -157.452 -178.912  178.671   -9.216 -168.560 -172.548  138.036  167.559  123.617
201  -92.847  179.735  146.878  128.126 -164.532  175.569  141.579   12.345   91.372  -80.308  125.243  179.812   54.432
202 -124.577 -172.230  131.106  106.521 -151.510 -178.234  176.037  -14.400   80.936 -125.656  133.397 -178.695   62.135
203  -73.728 -179.118  125.658   98.975 -177.794 -176.839  154.717  -29.169  101.370  116.038  137.895  176.700   96.369
204 -167.911  178.944  165.448  115.435 -152.267  177.600   83.488  -10.779   81.605  109.718  137.382  161.018  123.145
205 -160.241 -179.654  147.704   92.997 -174.861  167.314   65.606   -6.658   82.978  134.091  141.385 -174.813   78.050
206 -133.867  165.257  143.189   88.174 -171.837  163.280   60.918   -1.050   74.744  113.409  145.072  166.932   84.087
207 -155.516 -179.688  157.138  102.526 -163.831  175.661   71.104   21.192   86.805   29.858  119.465 -168.061   74.488
208 -130.058 -178.498  109.305  116.458  177.737  158.175   45.017  -12.215   84.232  123.131  143.261  146.426  107.826
209 -139.053  172.376  179.113   79.931 -172.582  176.331   74.155  -19.485   76.661  132.235  135.706  161.923   94.622
210  -62.809  179.967  165.252   84.778 -169.995  165.571  127.770   49.240   47.081  141.439  132.626 -176.701   74.302
