## Torsion are defined with the following atomIDs:
# dihed1: ai= 2442 aj= 2443 ak= 2444 al= 2445
# dihed2: ai= 2441 aj= 2440 ak= 2438 al= 2437
# dihed3: ai= 2440 aj= 2438 ak= 2437 al= 2436
# Frame#   dihed1   dihed2   dihed3
420  -90.730  -59.017 -162.968
421    3.987   24.477 -171.357
422   -0.913  -55.918 -158.877
423   97.306   34.295 -166.036
424 -175.035   21.877 -156.693
425  150.012   37.151 -168.875
426 -113.746   43.363 -162.351
427   13.913   50.073 -140.204
428   11.562  -46.074 -155.750
429 -125.104  -67.205 -152.766
430  128.869   43.884 -175.695
431  146.024   51.234 -159.469
432   94.073   48.947 -166.982
433  127.202   45.537 -176.905
434  -53.739   40.101 -177.428
435    1.533   38.724 -174.376
436  107.647   40.033 -173.114
437  -77.880   40.869  160.966
438   31.591   50.962  168.362
439  -64.617   44.156  179.044
440  -33.044   61.988 -173.698
441  -36.686   13.606  177.272
442   80.236   53.507 -167.324
443  -57.294   47.402  168.551
444  -16.523   51.935 -164.415
445 -150.692   36.962  177.767
446    9.299   34.078  167.065
447   33.131   37.154 -175.432
448  -35.672   30.249 -175.556
449 -152.636   24.635  179.746
450  -76.822   43.690 -171.188
451   82.837  142.106 -177.354
452   43.602  159.172 -163.411
453  -81.274 -147.011  177.813
454  -32.587 -140.785  179.410
455    1.901 -144.912 -178.325
456   11.240 -138.342  172.123
457 -100.333 -139.820  178.275
458  -26.151 -159.755  171.686
459  -80.144  161.730 -157.088
460  154.004 -148.756 -166.660
461   11.715 -135.068  154.638
462 -123.120 -127.321 -173.321
463  -68.214 -143.330 -177.999
464   49.734 -155.684 -167.095
465  158.970 -126.471  159.081
466   73.217 -140.336 -167.788
467 -166.289 -134.865 -170.918
468 -148.190 -163.494 -159.346
469  169.141 -125.691 -156.885
470   41.500 -152.696 -161.170
471  115.853  -42.404 -147.544
472  167.314   36.856 -177.561
473  148.241  -43.903 -150.196
474  108.498  -43.525 -164.051
475 -132.402  -22.883 -160.462
476 -134.115  -37.812 -153.511
477   64.075  -48.944 -152.328
478  137.791 -136.315 -177.281
479  146.670 -152.850 -159.965
480   -6.961 -150.633 -161.826
481   83.933  143.271 -161.309
482   79.047  126.570 -164.172
483   -2.253  130.882 -144.469
484  104.319  144.914 -161.154
485   36.600  137.534 -154.145
486   40.635  150.008 -177.251
487  -90.809 -160.203 -165.028
488 -161.015 -130.361 -177.586
489   34.180 -150.488 -168.117
490  -55.309 -113.849 -177.986
491  174.745 -143.770 -169.246
492  -97.053 -137.060 -174.976
493   92.185 -143.652 -170.658
494  -77.737  132.057 -157.974
495  173.536   45.889 -174.294
496   46.096   28.270 -165.636
497  -17.816   53.409 -168.537
498   28.576   29.712 -165.067
499  140.124   40.990 -177.587
500  -15.467   52.835 -166.463
501  -96.182   46.869  171.958
502   32.384   40.002 -160.486
503  -39.003   36.397 -170.815
504   47.280   54.167  175.158
505   67.498   37.957 -175.021
506  127.396   43.355 -161.507
507  167.011   52.559 -179.591
508  -32.303   30.402 -168.291
509 -117.464   41.840 -175.922
510   69.785   27.624 -170.346
511   95.532   44.012 -161.691
512    3.061   34.047 -158.879
513  105.156   31.445 -166.654
514   83.963   26.926 -171.391
515 -135.128   54.562  171.163
516   -0.838   28.073 -175.494
517   -9.072   -2.356 -154.669
518 -159.571   44.933 -163.781
519  -66.165   24.197 -168.395
520 -152.696   27.557 -164.204
521  -31.720   33.318 -173.438
522   41.170   38.188 -164.079
523  -17.288   45.890 -162.203
524   35.741   43.330 -148.821
525 -100.304   26.634 -159.208
526   10.052   44.470 -155.387
527  162.541   17.781 -142.775
528  -22.852  131.996 -163.987
529  178.516   43.418 -173.650
530  156.945   39.291  177.728
531 -123.915   50.349 -159.268
532  109.284   51.198 -173.064
533  -72.406   42.192 -175.532
534  170.367  -25.852 -146.481
535  -76.138  -49.957 -145.605
536  172.299  -50.212 -167.384
537   57.041  -70.828 -141.426
538  115.043  -43.331 -153.858
539 -102.171  -38.826 -138.991
540   29.308   41.611 -163.962
541  110.858   43.776 -170.864
542  139.008   41.130 -158.408
543 -178.588   26.621 -160.308
544 -178.137   30.412 -171.257
545  -27.893   12.748 -146.725
546   10.308   52.076 -160.292
547 -101.807   54.372 -161.959
548  -14.737   27.903 -150.100
549  136.331   65.283  175.385
550  -76.204   44.294 -159.683
551  -93.240   52.523 -164.720
552  -10.841   45.875 -166.868
553  103.969   37.489 -179.722
554 -129.915   35.660 -161.054
555    6.326    8.566 -144.046
556  -47.447   37.404 -166.217
557  -38.054   53.356 -178.590
558 -101.562   41.809 -158.835
559   -4.887   21.284 -168.739
560    9.079  -52.491 -163.912
561  -13.731 -138.313 -142.569
562  170.307 -173.733 -136.596
563  -17.416 -162.114 -158.163
564 -116.987 -152.800 -144.293
565  172.074 -117.514 -168.593
566 -145.780 -125.417 -162.400
567 -179.677 -133.900 -161.366
568    0.229 -166.716 -153.927
569 -103.973 -144.794 -149.730
570  -14.959 -138.271 -151.666
571   28.849 -125.589 -155.600
572 -117.021 -140.177 -167.451
573  102.234 -100.430 -160.924
574 -112.533 -139.083 -158.720
575  166.087 -146.402 -176.595
576  -20.423 -163.344 -152.551
577  -96.579 -171.270 -159.949
578   -0.065 -128.878 -175.735
579  -96.050 -158.650 -149.590
580  137.172  173.218 -132.542
581   55.629 -141.817 -166.343
582 -111.253 -134.230 -160.420
583 -170.640 -126.943 -175.372
584   53.085 -126.975 -159.315
585   39.933  149.498 -139.302
586  132.536 -122.739 -159.025
587   76.318 -149.998 -153.421
588    6.028  158.992 -152.563
589   55.908  146.357 -140.401
590   81.243   35.063 -165.221
591 -144.497   25.796 -156.938
592  -77.336   43.761 -158.271
593  -70.733   24.407 -156.957
594   69.904   59.317 -173.933
595   60.310   39.282 -140.796
596   19.209   32.444 -154.527
597  -91.913   52.420 -162.847
598  -19.414   48.012 -159.957
599 -129.650   33.215 -160.483
600  130.883   48.551  179.883
601  -26.526   40.918 -168.002
602   93.358   32.505 -163.449
603  -52.759   47.851  179.663
604  139.423  143.210 -157.311
605   80.071   39.719  176.319
606   -2.389   19.578 -131.122
607 -152.905   58.980  170.968
608  -35.351   54.882  156.014
609   -2.656   40.423 -173.995
610 -153.951   36.298  164.778
611   21.777   55.222 -158.822
612  -78.359   43.477  173.592
613  -90.326  -42.249 -155.892
614 -130.757  -36.787 -157.581
615  110.155  -30.360 -176.007
616  -54.003    2.186 -146.520
617  -14.681   42.827 -169.199
618  126.348    4.102 -156.346
619   64.183   44.258  175.616
620 -137.483  -34.200 -172.672
621  -17.407  -45.499 -165.727
622  110.865   41.688 -176.239
623   63.708   25.516 -174.828
624  131.993   29.040 -158.076
625  111.862  -20.105 -179.326
626  -31.528  -47.151 -157.214
627  -57.524  -14.358 -167.546
628   64.011  -14.014 -165.650
629  -80.088  -42.544 -152.641
630   70.458  -46.003 -149.421
631 -147.251   -8.853 -141.908
632  -15.993   23.055 -173.169
633 -159.102  -36.469 -154.797
634  -97.524 -123.335 -169.365
635  152.561 -151.254 -162.696
636   38.341 -124.268 -152.186
637   43.266 -129.748  179.714
638 -137.151 -131.283  179.045
639   94.354 -133.938 -174.391
640  -55.327 -151.101 -177.816
641 -158.244 -142.266 -171.118
642 -161.803 -158.658 -160.551
643   50.127 -165.184 -174.493
644 -170.498 -156.175 -152.598
645   44.968 -154.738 -146.809
646    6.226 -143.512 -157.746
647 -140.378 -157.761 -162.545
648  136.703  131.705 -141.695
649  -55.565 -155.881 -156.587
650  140.135 -137.564 -171.042
651  166.861  114.216 -156.382
652 -156.181  133.714 -145.749
653  128.893  146.525 -179.483
654 -175.132 -138.864 -179.886
655  166.067 -141.665 -177.090
656  -83.311 -140.485 -163.499
657  151.153  160.547 -157.239
658 -155.571  152.523 -154.165
659  124.388 -152.160 -154.554
660   -3.113  147.942 -163.609
661  145.467  145.479 -146.144
662   44.880  146.346 -162.707
663    1.719 -146.420 -169.033
664  125.416  148.232 -134.447
665   -8.537  138.301 -167.481
666  143.806  149.106 -138.679
667  -69.219  147.636 -162.434
668  157.577 -128.969 -175.608
669 -153.232 -154.652 -170.745
670  -73.798  142.444 -147.183
671   29.206  138.253 -158.874
672  112.095  138.826 -138.383
673   -2.269  149.842 -155.342
674 -119.461  134.537 -138.243
675 -137.669  141.454 -147.029
676 -147.347  145.443 -165.307
677 -155.467  132.358 -149.852
678 -134.086  144.671 -165.819
679 -169.241 -152.189 -174.464
680  -65.153  128.159 -151.903
681   -1.402  150.781 -139.129
682  -66.725  161.971 -166.390
683 -109.095  130.663 -141.867
684  113.520  161.660 -158.353
685   30.143  133.739 -146.863
686   38.400  137.591 -139.463
687   47.944  147.871 -153.371
688   65.489 -139.271  177.485
689 -132.097 -150.848 -173.789
690 -159.776 -126.382 -177.851
691  -92.151  154.526 -150.019
692   22.166 -149.374 -159.362
693  137.244 -140.371 -178.350
694  -27.307 -129.451 -170.669
695 -132.325 -129.381 -172.331
696  179.934 -130.576 -169.738
697  162.193 -129.886  159.758
698 -141.962 -163.099 -174.307
699  -61.993  164.772 -170.006
700   90.934 -134.147  177.377
701  -38.755 -141.026  161.654
702 -169.591 -143.889 -163.819
703 -172.058 -130.452  161.594
704   -6.653 -141.294  161.367
705  -49.284 -138.353 -173.213
706   74.496 -154.468 -154.935
707  -20.162  146.015 -168.289
708  144.411 -149.900 -154.600
709  -12.105  164.831 -138.857
710   14.201  154.937 -157.301
711   94.884  147.409 -147.934
712  -48.300 -129.687 -170.033
713 -109.407  147.283 -160.579
714   32.800 -159.713 -153.636
715 -138.367 -130.596  165.976
716 -157.189 -144.514  172.144
717   23.379 -143.603  172.099
718 -148.406 -150.235 -161.003
719  148.831 -165.904 -143.759
720   28.278  137.584 -143.050
721  110.005 -139.467 -165.677
722   -6.254 -147.902 -167.983
723    4.251  168.249 -159.419
724  -30.722 -135.903 -177.491
725 -124.462  148.036 -155.002
726   91.261 -152.042 -157.811
727  -43.397 -146.902 -165.094
728  130.578  162.757 -129.034
729  -54.648  139.099 -173.408
730   16.002  135.976 -164.944
731 -122.137  145.253 -158.207
732  123.819  134.713 -148.004
733 -121.516   39.792 -173.068
734  -30.653  -44.528 -147.117
735  103.363  -37.537 -155.194
736 -162.990  -30.792 -170.441
737  -31.935   39.406 -166.452
738  -88.142   40.573 -176.725
739  -30.306   47.320 -174.790
740  -17.327   49.616  169.949
741  161.682   48.435  167.820
742 -174.708   47.362  172.116
743  -41.296   36.901 -169.999
744  113.452  -41.687 -157.402
745  134.766  -40.783 -162.648
746 -105.228 -145.352  162.877
747  106.768  -28.763 -149.907
748 -108.561   52.202  179.836
749  -51.317   38.153 -161.477
750  -29.589   40.929  176.766
751  -36.407   35.239 -164.896
752  -55.691  -43.986 -150.255
